date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-01-02T00:00:00.000Z,49.1,49.25,46.63,46.86,80764599,49.1,49.25,46.63,46.86,80764599,0.0,1.0
2020-01-03T00:00:00.000Z,48.6,49.39,47.54,48.03,73362157,48.6,49.39,47.54,48.03,73362157,0.0,1.0
2020-01-06T00:00:00.000Z,48.39,48.86,47.86,48.02,48176286,48.39,48.86,47.86,48.02,48176286,0.0,1.0
2020-01-07T00:00:00.000Z,48.25,49.39,48.04,49.35,59935556,48.25,49.39,48.04,49.35,59935556,0.0,1.0
2020-01-08T00:00:00.000Z,47.83,48.3,47.14,47.85,53868957,47.83,48.3,47.14,47.85,53868957,0.0,1.0
2020-01-09T00:00:00.000Z,48.97,49.96,48.39,48.94,76649637,48.97,49.96,48.39,48.94,76649637,0.0,1.0
2020-01-10T00:00:00.000Z,48.17,49.29,48.0,49.26,44215594,48.17,49.29,48.0,49.26,44215594,0.0,1.0
2020-01-13T00:00:00.000Z,48.75,48.86,48.24,48.66,33743618,48.75,48.86,48.24,48.66,33743618,0.0,1.0
2020-01-14T00:00:00.000Z,48.21,49.04,47.91,48.64,38694180,48.21,49.04,47.91,48.64,38694180,0.0,1.0
2020-01-15T00:00:00.000Z,48.55,49.08,48.12,48.23,40199943,48.55,49.08,48.12,48.23,40199943,0.0,1.0
2020-01-16T00:00:00.000Z,49.77,50.31,48.99,49.17,58898926,49.77,50.31,48.99,49.17,58898926,0.0,1.0
2020-01-17T00:00:00.000Z,50.93,51.05,49.9,50.2,57722501,50.93,51.05,49.9,50.2,57722501,0.0,1.0
2020-01-21T00:00:00.000Z,51.05,51.81,50.7,50.96,48403014,51.05,51.81,50.7,50.96,48403014,0.0,1.0
2020-01-22T00:00:00.000Z,51.43,51.88,51.2,51.63,40772219,51.43,51.88,51.2,51.63,40772219,0.0,1.0
2020-01-23T00:00:00.000Z,51.71,51.75,50.74,51.34,40135442,51.71,51.75,50.74,51.34,40135442,0.0,1.0
2020-01-24T00:00:00.000Z,50.35,52.81,49.47,52.28,80004909,50.35,52.81,49.47,52.28,80004909,0.0,1.0
