date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-11-30T00:00:00.000Z,10.48,13.94,10.1,11.0,186696,10.48,13.94,10.1,11.0,186696,0.0,1.0
2020-12-01T00:00:00.000Z,10.6,10.74,10.46,10.6,435476,10.6,10.74,10.46,10.6,435476,0.0,1.0
2020-12-02T00:00:00.000Z,10.55,10.705,10.4,10.65,318208,10.55,10.705,10.4,10.65,318208,0.0,1.0
2020-12-03T00:00:00.000Z,10.42,10.56,10.4,10.55,448261,10.42,10.56,10.4,10.55,448261,0.0,1.0
2020-12-04T00:00:00.000Z,10.41,10.65,10.37,10.65,536546,10.41,10.65,10.37,10.65,536546,0.0,1.0
2020-12-07T00:00:00.000Z,10.62,10.8,10.44,10.69,824228,10.62,10.8,10.44,10.69,824228,0.0,1.0
2020-12-08T00:00:00.000Z,10.87,11.0,10.7,10.8,1540954,10.87,11.0,10.7,10.8,1540954,0.0,1.0
2020-12-09T00:00:00.000Z,10.99,11.25,10.75,11.04,1475932,10.99,11.25,10.75,11.04,1475932,0.0,1.0
2020-12-10T00:00:00.000Z,10.91,11.13,10.75,11.0,643193,10.91,11.13,10.75,11.0,643193,0.0,1.0
2020-12-11T00:00:00.000Z,11.06,11.27,10.8,11.05,1334182,11.06,11.27,10.8,11.05,1334182,0.0,1.0
2020-12-14T00:00:00.000Z,11.11,11.36,10.9,11.2,1408807,11.11,11.36,10.9,11.2,1408807,0.0,1.0
2020-12-15T00:00:00.000Z,11.08,11.2,10.81,11.15,1132415,11.08,11.2,10.81,11.15,1132415,0.0,1.0
2020-12-16T00:00:00.000Z,10.99,11.06,10.81,11.06,1137143,10.99,11.06,10.81,11.06,1137143,0.0,1.0
2020-12-17T00:00:00.000Z,11.03,11.1,10.9477,11.07,397311,11.03,11.1,10.9477,11.07,397311,0.0,1.0
2020-12-18T00:00:00.000Z,11.22,11.415,10.9944,11.11,773792,11.22,11.415,10.9944,11.11,773792,0.0,1.0
2020-12-21T00:00:00.000Z,11.4,11.59,11.13,11.58,2660583,11.4,11.59,11.13,11.58,2660583,0.0,1.0
2020-12-22T00:00:00.000Z,11.62,12.1389,11.4,11.95,2068909,11.62,12.1389,11.4,11.95,2068909,0.0,1.0
2020-12-23T00:00:00.000Z,12.05,12.2,11.74,11.98,2239358,12.05,12.2,11.74,11.98,2239358,0.0,1.0
2020-12-24T00:00:00.000Z,12.4,12.45,12.05,12.42,1038732,12.4,12.45,12.05,12.42,1038732,0.0,1.0
2020-12-28T00:00:00.000Z,12.66,13.04,12.45,12.89,2562690,12.66,13.04,12.45,12.89,2562690,0.0,1.0
2020-12-29T00:00:00.000Z,12.3,12.78,12.07,12.77,1752490,12.3,12.78,12.07,12.77,1752490,0.0,1.0
2020-12-30T00:00:00.000Z,12.46,12.52,11.9,12.0,1220662,12.46,12.52,11.9,12.0,1220662,0.0,1.0
2020-12-31T00:00:00.000Z,12.44,12.5,12.16,12.45,828380,12.44,12.5,12.16,12.45,828380,0.0,1.0
2021-01-04T00:00:00.000Z,12.2,12.59,11.8,12.59,1371365,12.2,12.59,11.8,12.59,1371365,0.0,1.0
2021-01-05T00:00:00.000Z,12.15,12.28,12.09,12.15,1303969,12.15,12.28,12.09,12.15,1303969,0.0,1.0
2021-01-06T00:00:00.000Z,12.12,12.2,11.89,12.15,1105655,12.12,12.2,11.89,12.15,1105655,0.0,1.0
2021-01-07T00:00:00.000Z,19.14,22.0,12.05,12.2,62703142,19.14,22.0,12.05,12.2,62703142,0.0,1.0
2021-01-08T00:00:00.000Z,18.74,22.0,17.89,21.46,35656955,18.74,22.0,17.89,21.46,35656955,0.0,1.0
2021-01-11T00:00:00.000Z,18.99,19.75,18.65,19.37,11702228,18.99,19.75,18.65,19.37,11702228,0.0,1.0
2021-01-12T00:00:00.000Z,18.45,19.19,18.25,18.98,7010423,18.45,19.19,18.25,18.98,7010423,0.0,1.0
2021-01-13T00:00:00.000Z,19.11,19.59,18.53,18.9,8226365,19.11,19.59,18.53,18.9,8226365,0.0,1.0
2021-01-14T00:00:00.000Z,19.16,19.45,18.92,19.4,7705092,19.16,19.45,18.92,19.4,7705092,0.0,1.0
2021-01-15T00:00:00.000Z,20.16,21.05,19.11,19.32,13024851,20.16,21.05,19.11,19.32,13024851,0.0,1.0
2021-01-19T00:00:00.000Z,22.59,24.22,21.06,21.9,22266241,22.59,24.22,21.06,21.9,22266241,0.0,1.0
2021-01-20T00:00:00.000Z,22.37,24.62,22.11,23.86,10236079,22.37,24.62,22.11,23.86,10236079,0.0,1.0
2021-01-21T00:00:00.000Z,22.39,23.05,21.5,23.0,6971452,22.39,23.05,21.5,23.0,6971452,0.0,1.0
2021-01-22T00:00:00.000Z,21.65,22.99,21.19,22.09,6727266,21.65,22.99,21.19,22.09,6727266,0.0,1.0
2021-01-25T00:00:00.000Z,20.48,22.85,20.0,22.16,9701774,20.48,22.85,20.0,22.16,9701774,0.0,1.0
2021-01-26T00:00:00.000Z,19.57,21.32,19.5,20.4,9172375,19.57,21.32,19.5,20.4,9172375,0.0,1.0
2021-01-27T00:00:00.000Z,18.18,19.25,17.9,19.0,16297554,18.18,19.25,17.9,19.0,16297554,0.0,1.0
2021-01-28T00:00:00.000Z,20.28,20.92,19.1,20.42,12032102,20.28,20.92,19.1,20.42,12032102,0.0,1.0
2021-01-29T00:00:00.000Z,25.14,26.97,21.8,23.19,36434550,25.14,26.97,21.8,23.19,36434550,0.0,1.0
2021-02-01T00:00:00.000Z,25.78,28.26,25.14,25.85,18319125,25.78,28.26,25.14,25.85,18319125,0.0,1.0
2021-02-02T00:00:00.000Z,24.33,26.18,23.85,26.01,8854809,24.33,26.18,23.85,26.01,8854809,0.0,1.0
2021-02-03T00:00:00.000Z,24.95,25.75,24.51,24.8,4251461,24.95,25.75,24.51,24.8,4251461,0.0,1.0
2021-02-04T00:00:00.000Z,25.06,25.12,23.42,24.07,8449840,25.06,25.12,23.42,24.07,8449840,0.0,1.0
2021-02-05T00:00:00.000Z,23.1,24.52,22.9,24.29,12226842,23.1,24.52,22.9,24.29,12226842,0.0,1.0
2021-02-08T00:00:00.000Z,23.0,24.39,22.8,23.4,7344517,23.0,24.39,22.8,23.4,7344517,0.0,1.0
2021-02-09T00:00:00.000Z,23.12,24.0,22.75,22.93,6281337,23.12,24.0,22.75,22.93,6281337,0.0,1.0
2021-02-10T00:00:00.000Z,22.99,23.79,22.25,23.7,6213655,22.99,23.79,22.25,23.7,6213655,0.0,1.0
2021-02-11T00:00:00.000Z,23.07,23.95,22.32,23.0,8551071,23.07,23.95,22.32,23.0,8551071,0.0,1.0
2021-02-12T00:00:00.000Z,23.9,24.48,22.8101,22.84,5847433,23.9,24.48,22.8101,22.84,5847433,0.0,1.0
2021-02-16T00:00:00.000Z,24.3,24.7,23.56,24.45,6134893,24.3,24.7,23.56,24.45,6134893,0.0,1.0
2021-02-17T00:00:00.000Z,23.88,24.3,23.0,24.27,4658890,23.88,24.3,23.0,24.27,4658890,0.0,1.0
2021-02-18T00:00:00.000Z,23.23,23.32,22.26,22.6,5747048,23.23,23.32,22.26,22.6,5747048,0.0,1.0
